scope_addr,tx_hash,block_time,originator_address,servicer_address,contract_spec_name,loan_class,amount_usd,interest_rate_pct,ledger_class_id,status_type_id,maturity_date,next_pmt_date,next_pmt_amt,payment_frequency,interest_day_count_convention,interest_accrual_method,discovered_at
scope1qq5glf0258s5wzy06hkhueay23uq7mvgtx,1638AB62229C21F8291B870F65701344B1E5AAEB0FC5A11D23EFB6DE590087B1,2026-09-17T23:58:18.257508587Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:11.086381+00:00
scope1qpsmcl2l5rlyela5nes5a3gd0fgqgw7z24,BECA01FE2EB7C60D5DF73044CDB3C91FD0F3415A90636C41727B316621289E02,2026-09-17T23:57:33.978163636Z,pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:11.691999+00:00
scope1qrhkrue0ucj5dav3tcr8j7l06easra8qu7,B8C13B5FAA33BAA63FA71FF4256A85696B7A86704449CEDE68FA370D17F8FBC6,2026-09-17T23:57:29.571123797Z,pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:12.372401+00:00
scope1qqnpsn6paux50ma5dc6hjs6jqkdsxf9hkc,3F5719C837338C7D2298B2A6F7F3EA3FF4DFC90A8A6FB5252D4EFB8534B8306D,2026-09-17T23:56:32.658742947Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:13.003756+00:00
scope1qqjntagc24hyfdymxk29flkmy3uskdqhzj,3C0D707526C2921B785D2A2AACA3DFABD87F82EA5638EC63921847BF289AF9CB,2026-09-17T23:53:24.332760913Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:13.609433+00:00
scope1qpdp9245sq7yvudzmngcmqvr062srwrjtx,0677AA7FC4677ED0BB01E84E700DCE0EA35639F78D1B8008C46D5D97819C736A,2026-09-17T23:50:16.124691078Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:14.197573+00:00
scope1qqky3tuqu0f5kayatrwk6canwmvsxdt652,D4CF55794E45B8EE9A9329F359B91A6499F9BF92832B7E64C3D5DC8998C3AD5B,2026-09-17T23:46:39.489967906Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:14.785652+00:00
scope1qr85gkx3fd9ysfyugkvmqfppcw5s87yhwn,DCE73D7216DE00E677651038C92B7EC97623FA2BAE4ABAAEA3CDE5CA96904910,2026-09-17T23:45:25.938398596Z,pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:15.423726+00:00
scope1qzyep2mvhux5awy3gv5408plkm3qlw6zt2,E778EE6453A61471668DF972B4CFAFE228AC2B34C134C0E912BA8937B94046DA,2026-09-17T23:45:17.438050312Z,pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:16.695892+00:00
scope1qqh649e0z5t5krvxm9p3hqyunx0qlf3vq0,76A90CC901AF8984BE9E981E5E19D97580C309C7EB98F55FD3C3EA11DA70D3E3,2026-09-17T23:45:17.438050312Z,pb14ep8k6jtc338c00t9khyrydpw7vywagdzqntwz,pb1rrwuxd65chqed6t0c5z8z505daw0rvsveyl0eq,,,,,,,,,,,,,2026-09-18T17:37:16.067646+00:00
