originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,Unknown,44,1790740.21,0.6189742180473151,all_time
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,HELOC/Property-Secured,31,575681.06,0.19898572219928512,all_time
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,Other,22,526655.95,0.18204005975339987,all_time
pb10s99z88nk2daxs6yu2dm6us7fev94rjfu0gtvy,Unknown,9,848768.27,1.0,all_time
pb10s99z88nk2daxs6yu2dm6us7fev94rjfu0gtvy,Other,1,,0.0,all_time
pb10s99z88nk2daxs6yu2dm6us7fev94rjfu0gtvy,HELOC/Property-Secured,4,,0.0,all_time
pb122kltu7dcqz72hfgexhgy8ur8avpwzczgre48a,Unknown,2,57589.67,1.0,all_time
pb122kltu7dcqz72hfgexhgy8ur8avpwzczgre48a,Other,3,,0.0,all_time
pb122kltu7dcqz72hfgexhgy8ur8avpwzczgre48a,HELOC/Property-Secured,1,,0.0,all_time
pb1240n3tcqss8cyffwumvyztkhs87w6trnuwesuj,Other,1,,,all_time
pb1240n3tcqss8cyffwumvyztkhs87w6trnuwesuj,HELOC/Property-Secured,2,,,all_time
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,Unknown,8,716092.35,0.7231885289621619,all_time
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,Other,4,274095.3,0.27681147103783815,all_time
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,HELOC/Property-Secured,2,,0.0,all_time
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Unknown,10,264940.1,0.8438154662201311,all_time
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Consumer/Unsecured,12,28023.4,0.08925254552283035,all_time
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Other,7,21015.22,0.06693198825703858,all_time
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,HELOC/Property-Secured,24,568282.7,0.3935776532507176,all_time
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,Unknown,31,500655.33,0.3467407152617238,all_time
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,Other,15,374951.62,0.25968163148755863,all_time
pb12kehrlcjc94kzzdzycwq0nmd0hvc7y2gw6r57k,Unknown,31,1278879.78,1.0,all_time
pb12kehrlcjc94kzzdzycwq0nmd0hvc7y2gw6r57k,Consumer/Unsecured,15,,0.0,all_time
pb12nsrzh96vgelvfy74cwgx3phvn4efuhjzpydvr,Unknown,3,369576.5,0.856321382464931,all_time
pb12nsrzh96vgelvfy74cwgx3phvn4efuhjzpydvr,Other,3,62009.71,0.14367861753506905,all_time
pb12nsrzh96vgelvfy74cwgx3phvn4efuhjzpydvr,HELOC/Property-Secured,2,,0.0,all_time
pb133qjg9lr69qv04fxxnxnscjjjnt309d3y4jtdq,Unknown,2,199999.89,0.7488434013699125,all_time
pb133qjg9lr69qv04fxxnxnscjjjnt309d3y4jtdq,HELOC/Property-Secured,1,67078.5,0.2511565986300876,all_time
pb133qjg9lr69qv04fxxnxnscjjjnt309d3y4jtdq,Other,2,,0.0,all_time
pb134yg6h3g0vjq9ct2lpmx6sdxv3yuz942wrpxuu,Unknown,95,7659423.61,0.8416872419189697,all_time
pb134yg6h3g0vjq9ct2lpmx6sdxv3yuz942wrpxuu,Other,31,831911.97,0.09141806579733963,all_time
pb134yg6h3g0vjq9ct2lpmx6sdxv3yuz942wrpxuu,HELOC/Property-Secured,57,608747.24,0.06689469228369066,all_time
pb13hwukq2k02wezfl8y8k7emszq66djj8kjanccy,HELOC/Property-Secured,1,,,all_time
pb13hwukq2k02wezfl8y8k7emszq66djj8kjanccy,Unknown,1,,,all_time
pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,Unknown,1895,61761850.62,0.7953035185013647,all_time
pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,Other,631,8168149.24,0.10518075098145835,all_time
pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,HELOC/Property-Secured,995,7728213.87,0.0995157305171768,all_time
pb13y4nf5d3qf8u25ahprtes4y3sem3vg0s9q8rhp,Unknown,7,584063.71,0.7355172151378974,all_time
pb13y4nf5d3qf8u25ahprtes4y3sem3vg0s9q8rhp,Other,3,210022.0,0.26448278486210264,all_time
pb13y4nf5d3qf8u25ahprtes4y3sem3vg0s9q8rhp,HELOC/Property-Secured,4,,0.0,all_time
pb140pagg090ymlw468s8qurj3guknn6xhpkyyxkf,Unknown,13,218859.58000000002,0.6401249366228008,all_time
pb140pagg090ymlw468s8qurj3guknn6xhpkyyxkf,HELOC/Property-Secured,11,123041.76999999999,0.35987506337719927,all_time
pb140pagg090ymlw468s8qurj3guknn6xhpkyyxkf,Other,4,,0.0,all_time
pb14avsmj2j4let700u4l7m6m3j9afpufpu03s0lv,Unknown,8,351146.17,0.6475686928223711,all_time
pb14avsmj2j4let700u4l7m6m3j9afpufpu03s0lv,HELOC/Property-Secured,11,191106.99,0.35243130717762905,all_time
pb14avsmj2j4let700u4l7m6m3j9afpufpu03s0lv,Other,4,,0.0,all_time
pb14ep8k6jtc338c00t9khyrydpw7vywagdzqntwz,Unknown,161,6504618.58,0.7733558776362602,all_time
pb14ep8k6jtc338c00t9khyrydpw7vywagdzqntwz,Other,52,1157436.75,0.13761152980698074,all_time
pb14ep8k6jtc338c00t9khyrydpw7vywagdzqntwz,HELOC/Property-Secured,105,748844.19,0.08903259255675902,all_time
pb14kg4dqa8dalz3x5r8gfugtekyjzv47ujaewx3j,Unknown,19,898653.79,0.6946900532785948,all_time
pb14kg4dqa8dalz3x5r8gfugtekyjzv47ujaewx3j,Other,9,294965.78,0.22801861596061623,all_time
pb14kg4dqa8dalz3x5r8gfugtekyjzv47ujaewx3j,HELOC/Property-Secured,7,99984.37,0.07729133076078912,all_time
pb150y6qkszzccf4gapvywe6lvaaraant8acjk6t4,Unknown,49,2820928.94,0.8895806629342273,all_time
pb150y6qkszzccf4gapvywe6lvaaraant8acjk6t4,HELOC/Property-Secured,33,350148.24,0.11041933706577271,all_time
pb150y6qkszzccf4gapvywe6lvaaraant8acjk6t4,Other,5,,0.0,all_time
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,Unknown,169,6846504.51,0.8625289828727934,all_time
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,HELOC/Property-Secured,80,554451.4400000001,0.06985030622517704,all_time
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,Other,43,536753.5599999999,0.06762071090202947,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,Unknown,7,800043.02,1.0,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,Other,1,,0.0,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,HELOC/Property-Secured,4,,0.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Unknown,11,513347.42,1.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Other,6,,0.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,HELOC/Property-Secured,8,,0.0,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,Other,3,,,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,HELOC/Property-Secured,1,,,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,Unknown,4,,,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,Unknown,7,78551.72,1.0,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,Other,1,,0.0,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,HELOC/Property-Secured,1,,0.0,all_time
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,Unknown,210,5915932.87,0.8126531261020171,all_time
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,HELOC/Property-Secured,116,818780.76,0.11247334255268272,all_time
