originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,HELOC/Property-Secured,23,575681.06,0.3719742690529751,trailing_30d
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,Other,13,526655.95,0.34029686862314035,trailing_30d
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,Unknown,48,445299.77,0.28772886232388456,trailing_30d
pb10s99z88nk2daxs6yu2dm6us7fev94rjfu0gtvy,Unknown,10,257745.96,1.0,trailing_30d
pb10s99z88nk2daxs6yu2dm6us7fev94rjfu0gtvy,HELOC/Property-Secured,3,,0.0,trailing_30d
pb122kltu7dcqz72hfgexhgy8ur8avpwzczgre48a,Unknown,5,57589.67,1.0,trailing_30d
pb1240n3tcqss8cyffwumvyztkhs87w6trnuwesuj,HELOC/Property-Secured,2,,,trailing_30d
pb1240n3tcqss8cyffwumvyztkhs87w6trnuwesuj,Unknown,1,,,trailing_30d
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,Unknown,8,284562.53,0.5093681941234046,trailing_30d
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,Other,2,274095.3,0.4906318058765953,trailing_30d
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,HELOC/Property-Secured,2,,0.0,trailing_30d
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Unknown,17,42337.2,0.463330452191838,trailing_30d
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Consumer/Unsecured,5,28023.4,0.3066828839401934,trailing_30d
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,Other,5,21015.22,0.22998666386796857,trailing_30d
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,HELOC/Property-Secured,21,568282.7,0.6024830606248509,trailing_30d
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,Other,7,374951.62,0.39751693937514915,trailing_30d
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,Unknown,25,,0.0,trailing_30d
