originator_address,months_since_first_loan,cumulative_funded_volume_usd
pb109v8r0nk4du3k7vw3yf5dt8cjnhp9dtmaqahaa,0,0
pb124wek8vukun3wgtvg8g6qk8ghrjpdpw0gwqngv,0,0
pb129e6pvjd4d289kkayjtev9gmyg0flj77qhgx6g,0,0
pb12dyqf6zh3g8tqvk5hp8mqavj75700yy04xud59,0,0
pb133qjg9lr69qv04fxxnxnscjjjnt309d3y4jtdq,0,0
pb134yg6h3g0vjq9ct2lpmx6sdxv3yuz942wrpxuu,0,0
pb13knswfs6ack05wveq5nua7jgc5jnld3zg8xl52,0,0
pb13y4nf5d3qf8u25ahprtes4y3sem3vg0s9q8rhp,0,0
pb140pagg090ymlw468s8qurj3guknn6xhpkyyxkf,0,0
pb14ep8k6jtc338c00t9khyrydpw7vywagdzqntwz,0,0
